id	platform	title	year	type	stage	use	url	checked_at
S24	Alibaba Ads	COLD: Towards the Next Generation of Pre-Ranking System	2020	industrial paper	pre-ranking	cost-aware online pre-ranking	https://arxiv.org/abs/2007.16122	2026-05-27
S25	Taobao Search	Multi-Objective Personalized Product Retrieval in Taobao Search	2022	industrial paper	retrieval;mixing	multi-channel retrieval and cascade ranking	https://arxiv.org/abs/2210.04170	2026-05-27
S26	Taobao	Controllable Multi-Objective Re-ranking with Policy Hypernetworks	2023	industrial paper	reranking	dynamic objective weights in final stage	https://arxiv.org/abs/2306.05118	2026-05-27
S27	Taobao	A Generative Re-ranking Model for List-level Multi-objective Optimization at Taobao	2025	industrial paper	reranking	list-level generative reranking	https://arxiv.org/abs/2505.07197	2026-05-27
S28	JD.com	From Semantic Retrieval to Pairwise Ranking: Applying Deep Learning in E-commerce Search	2021	industrial paper	retrieval;ranking	two major product-search stages	https://arxiv.org/abs/2103.12982	2026-05-27
S29	ByteDance	Monolith: Real Time Recommendation System With Collisionless Embedding Table	2022	industrial paper	system	realtime training and serving infrastructure	https://arxiv.org/abs/2209.07663	2026-05-27
S30	ByteDance/Douyin	RankMixer: Scaling Up Ranking Models in Industrial Recommenders	2025	preprint	ranking	large ranker deployment claim	https://arxiv.org/abs/2507.15551	2026-05-27
S31	Kuaishou	KuaiFormer: Transformer-Based Retrieval at Kuaishou	2024	preprint	retrieval	transformer retrieval deployment claim	https://arxiv.org/abs/2411.10057	2026-05-27
S32	Kuaishou	NAR4Rec: Non-autoregressive Generative Models for Reranking Recommendation	2024	preprint	reranking	latency-aware generative reranking claim	https://arxiv.org/abs/2402.06871	2026-05-27
S33	Kuaishou	Dual-Rerank: Fusing Sequential Dependencies and Utility for Generative Reranking	2026	preprint	reranking	teacher-student and online RL exploration	https://arxiv.org/abs/2604.07420	2026-05-27
S34	Meituan	MTGR: Industrial-Scale Generative Recommendation Framework in Meituan	2025	preprint	ranking	scalable ranker with cross features	https://arxiv.org/abs/2505.18654	2026-05-27
S35	Meituan	Next-Scale Generative Reranking: A Tree-based Generative Rerank Method at Meituan	2026	preprint	reranking	tree-based generation deployment claim	https://arxiv.org/abs/2604.05314	2026-05-27
S36	Tencent Advertising	An Efficient Embedding Based Ad Retrieval with GPU-Powered Feature Interaction	2025	preprint	retrieval	GPU dual-tower retrieval deployment claim	https://arxiv.org/abs/2511.22460	2026-05-27
S37	Tencent Advertising	Tencent Advertising Algorithm Challenge 2025: All-Modality Generative Recommendation	2026	preprint;dataset	retrieval;evaluation	public industrial benchmark boundary	https://arxiv.org/abs/2604.04976	2026-05-27
