id	evidence_level	source_type	publisher	title	published_or_as_of	url	claims_supported	notes
M11	B	market_data	Yahoo Finance	Kuaishou trailingMarketCap timeseries	2026-06-10	https://query2.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/1024.HK?symbol=1024.HK&type=trailingMarketCap&period1=1780876800&period2=1781222400	Kuaishou historical market capitalization	HKD 199.1719bn
M12	B	market_data	Yahoo Finance	KE Holdings trailingMarketCap timeseries	2026-06-10	https://query2.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/BEKE?symbol=BEKE&type=trailingMarketCap&period1=1780876800&period2=1781222400	KE Holdings historical market capitalization	USD 17.6812bn
M13	B	market_data	Yahoo Finance	Tencent Music trailingMarketCap timeseries	2026-06-10	https://query2.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/TME?symbol=TME&type=trailingMarketCap&period1=1780876800&period2=1781222400	Tencent Music historical market capitalization	USD 14.7828bn
M14	B	market_data	Yahoo Finance	China Literature trailingMarketCap timeseries	2026-06-10	https://query2.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/0772.HK?symbol=0772.HK&type=trailingMarketCap&period1=1780876800&period2=1781222400	China Literature historical market capitalization	HKD 110.5340bn
H01	A	exchange	Hong Kong Exchanges and Clearing	Tencent Holdings equity quote	2026-06-11	https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=en&sym=700	Ticker identity, issued-share and market-cap cross-check	Official exchange quote page; live page, not the historical ranking input
H02	A	exchange	Hong Kong Exchanges and Clearing	Xiaomi Corporation equity quote	2026-06-11	https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=en&sym=1810	Ticker identity, issued-share and market-cap cross-check	Official exchange quote page; live page
H03	A	exchange	Hong Kong Exchanges and Clearing	Meituan equity quote	2026-06-11	https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=en&sym=3690	Ticker identity, issued-share and market-cap cross-check	Official exchange quote page; live page
H04	A	exchange	Hong Kong Exchanges and Clearing	Kuaishou Technology equity quote	2026-06-11	https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=en&sym=1024	Ticker identity, issued-share and market-cap cross-check	Official exchange quote page; live page
H05	A	exchange	Hong Kong Exchanges and Clearing	China Literature equity quote	2026-06-11	https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=en&sym=772	Ticker identity, issued-share and market-cap cross-check	Official exchange quote page; live page
N01	A	exchange	Nasdaq	Alibaba Group Holding Limited stock quote	2026-06-11	https://www.nasdaq.com/market-activity/stocks/baba	Ticker identity, previous close and market-cap cross-check	Official exchange quote page; live page
N02	A	exchange	Nasdaq	PDD Holdings Inc. stock quote	2026-06-11	https://www.nasdaq.com/market-activity/stocks/pdd	Ticker identity, previous close and market-cap cross-check	Official exchange quote page; live page
N03	A	exchange	Nasdaq	NetEase Inc. stock quote	2026-06-11	https://www.nasdaq.com/market-activity/stocks/ntes	Ticker identity, previous close and market-cap cross-check	Official exchange quote page; live page
N04	A	exchange	Nasdaq	Baidu Inc. stock quote	2026-06-11	https://www.nasdaq.com/market-activity/stocks/bidu	Ticker identity, previous close and market-cap cross-check	Official exchange quote page; live page
N05	A	exchange	Nasdaq	JD.com Inc. stock quote	2026-06-11	https://www.nasdaq.com/market-activity/stocks/jd	Ticker identity, previous close and market-cap cross-check	Official exchange quote page; live page
N06	A	exchange	Nasdaq	Trip.com Group Limited stock quote	2026-06-11	https://www.nasdaq.com/market-activity/stocks/tcom	Ticker identity, previous close and market-cap cross-check	Official exchange quote page; live page
N07	A	exchange	NYSE	KE Holdings Inc. stock quote	2026-06-11	https://www.nyse.com/quote/XNYS:BEKE	Ticker identity and listing cross-check	Official exchange quote page; live page
N08	A	exchange	NYSE	Tencent Music Entertainment Group stock quote	2026-06-11	https://www.nyse.com/quote/XNYS:TME	Ticker identity and listing cross-check	Official exchange quote page; live page
B01	B	credible_media	South China Morning Post	ByteDance valuation surges to record high of over US$600b on proposed equity sale	2026-04-08	https://www.scmp.com/tech/big-tech/article/3349337/bytedance-valuation-surges-record-high-over-us600b-proposed-equity-sale-sources	Proposed founder-share sale implied valuation above US$600bn	Two-source report; transaction not finalized and company did not confirm
B02	B	credible_media	Reuters via Investing.com	ByteDance sets valuation above $330 billion for new share buyback	2025-08-27	https://www.investing.com/news/stock-market-news/exclusivetiktok-owner-bytedance-sets-valuation-at-over-330-billion-as-revenue-grows-sources-say-4212987	Company-set employee buyback valuation above US$330bn	Employee liquidity program, not public-market capitalization
B03	B	credible_media	Reuters via Investing.com	ByteDance valued at $550 billion in proposed share sale by General Atlantic	2026-02-25	https://www.investing.com/news/stock-market-news/exclusivebytedance-valued-at-550-billion-in-proposed-share-sale-by-general-atlantic-sources-say-4523409	Earlier proposed institutional stake sale at US$550bn	Proposed sale; corroborates valuation progression but is superseded by B01 for recency
X01	B	credible_media_fund_document	Bloomberg	Xiaohongshu Hits $31 Billion Value in GSR Books	2025-09-04	https://www.bloomberg.com/news/articles/2025-09-04/instagram-style-xiaohongshu-hits-31-billion-value-in-gsr-books	GSR fund documents as of June 2025 implied US$31bn value	Fund-portfolio mark, not company financing or continuous market price
X02	B	credible_media_fund_document	South China Morning Post	Value of Xiaohongshu soars to US$31 billion in GSR's books	2025-09-04	https://www.scmp.com/business/article/3324261/value-instagram-style-xiaohongshu-soars-19-3-months-us31-billion-gsrs-books	Independent reproduction of Bloomberg-reviewed GSR documents	Supports the selected private-company anchor
X03	C	industry_media	投资界	独家｜小红书卖老股，估值3500亿	2026-02-04	https://news.pedaily.cn/202602/560768.shtml	Reported late-2025 secondary transaction at about US$50bn	Single-transaction report; retained only as an upside scenario
