id	tier	paper	year	venue_status	org	task	core_method	reported_gain	evidence_level	workability	risk
P11	A	Qwen3-VL-Embedding and Qwen3-VL-Reranker	2026	arXiv	Alibaba Tongyi	通用多模态 embedding 和 reranker	大规模对比预训练；reranker distillation；Matryoshka；cross-encoder rerank	MMEB-V2 77.8，较上一开源最佳 +6.7%	作者报告，通用 benchmark	强，适合作为强 baseline、teacher 和离线 reranker	非电商专用，实例级同款需要领域后训练
P12	A	Bringing Multimodality to Amazon Visual Search System	2024	Amazon Science / arXiv	Amazon	视觉搜索和图文组合查询	3-tower image-text alignment；4-tower 加 reformulation text；embedding arithmetic	3-tower image matching CTR +4.95%；4-tower 进一步 +1.13%	Amazon Science 和 arXiv	强，适合图搜系统从纯视觉升级为图文约束	论文较早，未覆盖 MLLM/细粒度生成式新范式
P13	A	MIEM: Transformer-empowered Multi-modal Item Embedding for Enhanced E-commerce Image Search	2023	arXiv	Shopee	图搜平台 item embedding	Transformer 融合多模态商品语义补充图搜	部署后 clicks/user +9.90%；orders/user +4.23%	作者论文和部署描述	强，适合验证“图像检索需要商品语义补充”的产业基线	架构相对 2026 新模型不够前沿
P14	A	MAKE: Vision-Language Pre-training based Product Retrieval in Taobao Search	2023	WWW 2023	Alibaba Taobao	文本 query 到图文商品召回	Modal adaptation；query-title-image V+L pretraining；大规模负采样	部署到 Taobao Search，服务数亿用户；论文报告主要线上改善	正式会议/作者论文	强，适合作为早期工业 V+L 召回范式	旧方法，需升级到更强视觉编码器和后训练策略
P15	A	Delving into E-Commerce Product Retrieval with Vision-Language Pre-training	2023	SIGIR 2023	Alibaba Taobao	商品检索召回通道	视觉预训练任务；tailored negative sampling；线上召回通道	作为 Taobao Search 一路召回服务数亿用户	正式会议/作者论文	强，适合作为工业负采样和上线链路参考	公式和模型能力已被 2025/2026 MLLM embedding 超越
P16	B	Multimodal Semantic Retrieval for Product Search	2025	WWW Companion 2025	Amazon	商品语义检索	BiBERT text-only + CLIP 3-tower/4-tower item representations	论文显示 purchase recall 或 relevance accuracy 提升，4-tower 有 40 到 50 bps recall 改善	作者论文，离线实验	中，适合 text-only semantic retrieval 增量改造	线上业务收益未公开
P17	B	Unsupervised Multi-Modal Representation Learning for High Quality Retrieval of Similar Products at E-commerce Scale	2023	CIKM 2023 / Amazon Science	Amazon	相似商品召回	Contrastive learning + ANNS Pareto frontier	部分品类 retrieval@1 翻倍；6.8x speedup with about 2% accuracy drop	Amazon Science	中强，适合大规模相似召回和 ANN 选型	偏同款/相似召回，非开放图文 query
P18	B	De-noised Vision-Language Fusion Guided by Visual Cues for E-commerce Product Search	2024	CVPR 2024 / Amazon Science	Amazon	商品搜索 V+L 融合	视觉线索引导文本去噪和融合	论文报告商品搜索相关提升	正式会议/公司论文	中，适合标题噪声强的商品库	需要细读任务口径；不是纯召回系统论文
P19	B	MOON3.0: Reasoning-aware Multimodal Representation Learning for E-commerce Product Understanding	2026	arXiv	Alibaba	推理增强商品表征	CoT/attribute deconstruction；multi-head fusion；contrastive + RL；residual detail enhancement	MBE3.0 和 public datasets zero-shot SOTA	作者论文，离线 benchmark	中，适合前沿观察和属性推理增强	训练复杂，线上召回稳定性待公开
P20	B	FashionMV: Product-Level Composed Image Retrieval with Multi-View Fashion Data	2026	arXiv	Academic	多视角商品级 composed image retrieval	ProCIR；two-stage dialogue；caption alignment；CoT；optional SFT	0.8B 模型优于 10x size 通用 embedding；127K products 和 220K triplets	作者论文，公开数据/代码	中，适合服饰多视角和“找同款但改颜色/款式”	垂直服饰，数据自动生成，需要人工质检
P21	B	RMIR: A Benchmark Dataset for Reasoning-Intensive Multimodal Image Retrieval	2026	CVPR 2026 / Amazon Science	Amazon	复杂推理式图像检索 benchmark	功能、时间、因果三类 reasoning query；生成式 embedding 对比	最佳模型 Recall@20 46.53%，显著暴露能力缺口	正式会议 benchmark	中，适合构造下一代图搜评测集	不是电商商品库，不能直接代表线上 GMV
P22	B	MagicLens: Self-Supervised Image Retrieval with Open-Ended Instructions	2024	ICML/NeurIPS-adjacent arXiv	Google Research	开放式指令图像检索	Self-supervised instruction-conditioned retrieval	开放式图像检索强 baseline	作者论文，离线 benchmark	中，适合 composed/query-conditioned 图搜研究	非电商场景，线上召回落地需重训
P23	B	Graph-based Multilingual Product Retrieval in E-commerce Search	2021	Amazon Science / arXiv	Amazon	多语种商品召回	Multilingual transformer + graph attention over query-item-product relations	五国离线 recall +35%、mAP +25%；线上 conversion/revenue 显著提升	公司论文和 arXiv	强，适合跨境电商召回非视觉部分	不是图搜模型，但对国际化召回很有工程价值
P24	B	Scaling Cross-Domain Content-Based Image Retrieval for E-commerce Snap and Search Application	2022	ECIR industry talk	arXiv / Industry	跨域用户图到商品图 CBIR	Cascade method；视觉搜索和分类结合；cross-domain gallery/query	报告真实电商 snap and search 的 ranking 和 latency impact	行业论文	中，适合图搜系统工程基线	论文较短，指标细节有限
P25	B	Large-Scale Product Retrieval with Weakly Supervised Representation Learning	2022	CVPR FGVC workshop	arXiv / eBay challenge	弱监督商品检索	伪属性挖掘；multi-label classification；whitening；rerank；ensemble	71.53% MAR，eProduct leaderboard 第二	竞赛论文	中，适合低标注商品库冷启动	竞赛集和线上系统差距较大
P26	C	VLM2Vec / VLM2Vec-V2	2024-2025	ICLR 2025 and arXiv	TIGER AI Lab	通用多模态 embedding	VLM contrastive adaptation；instruction-aware multimodal vector	MMEB 相对既有模型平均 +10% 到 +20%	正式论文和开源资源	中，适合做通用 teacher/baseline	电商实例级属性和同款需要领域数据
P27	C	CLIP / SigLIP	2021-2023	ICML 2021 and ICCV 2023	OpenAI / Google	基础图文对齐	InfoNCE 或 pairwise sigmoid 图文对齐	通用基础模型贡献，不是电商线上指标	基础论文	强，作为初始化和 teacher	直接零样本用于电商同款通常不稳定
P28	C	ColPali and Late Interaction Retrieval	2024	ICLR/visual document retrieval	arXiv	视觉文档检索	MaxSim token-level late interaction	视觉文档检索强，但与商品召回任务不同	基础论文	中，适合 rerank 和高精场景启发	多向量索引成本高，第一阶段召回要谨慎
